endBus,lowPlate,plateNo,plateType,remainSeatCnt,routeId,stationId,stationSeq,querytime
0,0,경기76아4715,1,-1,233000348,233002708,1,20221022-083045
0,0,경기76아4715,1,-1,233000348,233000597,2,20221022-083100
0,0,경기76아4715,1,-1,233000348,233000597,2,20221022-083115
0,0,경기76아4715,1,-1,233000348,233000597,2,20221022-083130
0,0,경기76아4715,1,-1,233000348,233000597,2,20221022-083145
0,0,경기76아4715,1,-1,233000348,233002375,3,20221022-083200
0,0,경기76아4715,1,-1,233000348,233002375,3,20221022-083215
0,0,경기76아4715,1,-1,233000348,233002375,3,20221022-083230
0,0,경기76아4715,1,-1,233000348,233002375,3,20221022-083245
0,0,경기76아4715,1,-1,233000348,233000163,4,20221022-083300
0,0,경기76아4715,1,-1,233000348,233000163,4,20221022-083314
0,0,경기76아4715,1,-1,233000348,233000163,4,20221022-083329
0,0,경기76아4715,1,-1,233000348,233000163,4,20221022-083344
0,0,경기76아4715,1,-1,233000348,233000163,4,20221022-083359
0,0,경기76아4715,1,-1,233000348,233000163,4,20221022-083416
0,0,경기76아4715,1,-1,233000348,233000163,4,20221022-083431
0,0,경기76아4715,1,-1,233000348,233000163,4,20221022-083446
0,0,경기76아4715,1,-1,233000348,233000163,4,20221022-083501
0,0,경기76아4715,1,-1,233000348,233001000,5,20221022-083516
0,0,경기76아4715,1,-1,233000348,233001000,5,20221022-083531
0,0,경기76아4715,1,-1,233000348,233001435,6,20221022-083546
0,0,경기76아4715,1,-1,233000348,233001435,6,20221022-083601
0,0,경기76아4715,1,-1,233000348,233000208,7,20221022-083615
0,0,경기76아4715,1,-1,233000348,233000208,7,20221022-083630
0,0,경기76아4715,1,-1,233000348,233000208,7,20221022-083646
0,0,경기76아4715,1,-1,233000348,233001043,8,20221022-083700
0,0,경기76아4715,1,-1,233000348,233001043,8,20221022-083715
0,0,경기76아4715,1,-1,233000348,233002166,9,20221022-083730
0,0,경기76아4715,1,-1,233000348,233002166,9,20221022-083745
0,0,경기76아4715,1,-1,233000348,233002130,10,20221022-083800
0,0,경기76아4715,1,-1,233000348,233002130,10,20221022-083815
0,0,경기76아4715,1,-1,233000348,233001042,11,20221022-083830
0,0,경기76아4715,1,-1,233000348,233001042,11,20221022-083845
0,0,경기76아4715,1,-1,233000348,233002296,12,20221022-083900
0,0,경기76아4715,1,-1,233000348,233000207,13,20221022-083915
0,0,경기76아4715,1,-1,233000348,233000207,13,20221022-083930
0,0,경기76아4715,1,-1,233000348,233002216,14,20221022-083945
0,0,경기76아4715,1,-1,233000348,233002216,14,20221022-084000
0,0,경기76아4715,1,-1,233000348,233002216,14,20221022-084014
0,0,경기76아4715,1,-1,233000348,233002216,14,20221022-084029
0,0,경기76아4715,1,-1,233000348,233002223,15,20221022-084044
0,0,경기76아4715,1,-1,233000348,233002223,15,20221022-084059
0,0,경기76아4715,1,-1,233000348,233002836,16,20221022-084114
0,0,경기76아4715,1,-1,233000348,233002836,16,20221022-084129
0,0,경기76아4715,1,-1,233000348,233002214,17,20221022-084144
0,0,경기76아4715,1,-1,233000348,233002214,17,20221022-084159
0,0,경기76아4715,1,-1,233000348,233002214,17,20221022-084216
0,0,경기76아4715,1,-1,233000348,233002214,17,20221022-084231
0,0,경기76아4715,1,-1,233000348,233002214,17,20221022-084246
0,0,경기76아4715,1,-1,233000348,233002844,18,20221022-084301
0,0,경기76아4715,1,-1,233000348,233002844,18,20221022-084316
0,0,경기76아4715,1,-1,233000348,233002844,18,20221022-084331
0,0,경기76아4715,1,-1,233000348,233002844,18,20221022-084346
0,0,경기76아4715,1,-1,233000348,233002842,19,20221022-084401
0,0,경기76아4715,1,-1,233000348,233002842,19,20221022-084415
0,0,경기76아4715,1,-1,233000348,233002842,19,20221022-084430
0,0,경기76아4715,1,-1,233000348,233002842,19,20221022-084445
0,0,경기76아4715,1,-1,233000348,233002840,20,20221022-084500
0,0,경기76아4715,1,-1,233000348,233002840,20,20221022-084515
0,0,경기76아4715,1,-1,233000348,233002840,20,20221022-084530
0,0,경기76아4715,1,-1,233000348,233002840,20,20221022-084545
0,0,경기76아4715,1,-1,233000348,233002840,20,20221022-084600
0,0,경기76아4715,1,-1,233000348,233002840,20,20221022-084615
0,0,경기76아4715,1,-1,233000348,233002840,20,20221022-084630
0,0,경기76아4715,1,-1,233000348,233002840,20,20221022-084645
0,0,경기76아4715,1,-1,233000348,233001381,21,20221022-084700
0,0,경기76아4715,1,-1,233000348,233001381,21,20221022-084714
0,0,경기76아4715,1,-1,233000348,233001381,21,20221022-084729
0,0,경기76아4715,1,-1,233000348,233001381,21,20221022-084744
0,0,경기76아4715,1,-1,233000348,233001381,21,20221022-084759
0,0,경기76아4715,1,-1,233000348,233001382,22,20221022-084814
0,0,경기76아4715,1,-1,233000348,233001382,22,20221022-084829
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-084844
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-084859
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-084916
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-084931
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-084946
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-085001
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-085016
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-085031
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-085046
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-085101
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-085115
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-085130
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-085145
0,0,경기76아4715,1,-1,233000348,233001385,23,20221022-085200
0,0,경기76아4715,1,-1,233000348,233000445,24,20221022-085215
0,0,경기76아4715,1,-1,233000348,233000445,24,20221022-085230
0,0,경기76아4715,1,-1,233000348,233000445,24,20221022-085246
0,0,경기76아4715,1,-1,233000348,233000445,24,20221022-085300
0,0,경기76아4715,1,-1,233000348,233000445,24,20221022-085315
0,0,경기76아4715,1,-1,233000348,233000445,24,20221022-085330
0,0,경기76아4715,1,-1,233000348,233000445,24,20221022-085345
0,0,경기76아4715,1,-1,233000348,233000444,25,20221022-085400
0,0,경기76아4715,1,-1,233000348,233000444,25,20221022-085415
0,0,경기76아4715,1,-1,233000348,233000444,25,20221022-085430
0,0,경기76아4715,1,-1,233000348,233000444,25,20221022-085445
0,0,경기76아4715,1,-1,233000348,233000444,25,20221022-085459
0,0,경기76아4715,1,-1,233000348,233000443,26,20221022-085514
0,0,경기76아4715,1,-1,233000348,233000443,26,20221022-085529
0,0,경기76아4715,1,-1,233000348,233000443,26,20221022-085544
0,0,경기76아4715,1,-1,233000348,233000443,26,20221022-085559
0,0,경기76아4715,1,-1,233000348,233000443,26,20221022-085616
0,0,경기76아4715,1,-1,233000348,233000443,26,20221022-085631
0,0,경기76아4715,1,-1,233000348,233000443,26,20221022-085646
0,0,경기76아4715,1,-1,233000348,233000443,26,20221022-085701
0,0,경기76아4715,1,-1,233000348,233000443,26,20221022-085716
0,0,경기76아4715,1,-1,233000348,233002788,27,20221022-085731
0,0,경기76아4715,1,-1,233000348,233002787,28,20221022-085746
0,0,경기76아4715,1,-1,233000348,233002787,28,20221022-085801
0,0,경기76아4715,1,-1,233000348,233002787,28,20221022-085815
0,0,경기76아4715,1,-1,233000348,233002787,28,20221022-085830
0,0,경기76아4715,1,-1,233000348,233002787,28,20221022-085845
0,0,경기76아4715,1,-1,233000348,233002787,28,20221022-085900
0,0,경기76아4715,1,-1,233000348,233002787,28,20221022-085915
0,0,경기76아4715,1,-1,233000348,233002786,29,20221022-085930
0,0,경기76아4715,1,-1,233000348,233002786,29,20221022-085945
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090000
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090015
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090030
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090045
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090100
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090115
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090130
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090145
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090200
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090214
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090229
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090244
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090259
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090316
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090331
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090346
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090401
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090416
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090431
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090446
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090501
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090516
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090531
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090546
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090601
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090615
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090630
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090645
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090700
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090715
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090730
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090745
0,0,경기76아4715,1,-1,233000348,233002785,30,20221022-090800
0,0,경기76아4715,1,-1,233000348,233002157,31,20221022-090815
0,0,경기76아4715,1,-1,233000348,233002157,31,20221022-090830
0,0,경기76아4715,1,-1,233000348,233002157,31,20221022-090845
0,0,경기76아4715,1,-1,233000348,233002157,31,20221022-090900
0,0,경기76아4715,1,-1,233000348,233002357,32,20221022-090915
0,0,경기76아4715,1,-1,233000348,233002357,32,20221022-090930
0,0,경기76아4715,1,-1,233000348,233002357,32,20221022-090945
0,0,경기76아4715,1,-1,233000348,233002357,32,20221022-091000
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091015
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091030
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091045
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091059
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091114
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091129
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091144
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091159
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091216
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091231
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091246
0,0,경기76아4715,1,-1,233000348,233000526,33,20221022-091301
0,0,경기76아4715,1,-1,233000348,233001371,34,20221022-091316
0,0,경기76아4715,1,-1,233000348,233001371,34,20221022-091331
0,0,경기76아4715,1,-1,233000348,233001371,34,20221022-091346
0,0,경기76아4715,1,-1,233000348,233001371,34,20221022-091401
0,0,경기76아4715,1,-1,233000348,233001371,34,20221022-091416
0,0,경기76아4715,1,-1,233000348,233001371,34,20221022-091431
0,0,경기76아4715,1,-1,233000348,233001371,34,20221022-091446
0,0,경기76아4715,1,-1,233000348,233001371,34,20221022-091501
0,0,경기76아4715,1,-1,233000348,233002099,35,20221022-091515
0,0,경기76아4715,1,-1,233000348,233002099,35,20221022-091530
0,0,경기76아4715,1,-1,233000348,233002099,35,20221022-091545
0,0,경기76아4715,1,-1,233000348,233002099,35,20221022-091600
0,0,경기76아4715,1,-1,233000348,233002099,35,20221022-091615
0,0,경기76아4715,1,-1,233000348,233002099,35,20221022-091630
0,0,경기76아4715,1,-1,233000348,233002099,35,20221022-091645
0,0,경기76아4715,1,-1,233000348,233002101,36,20221022-091700
0,0,경기76아4715,1,-1,233000348,233002101,36,20221022-091715
0,0,경기76아4715,1,-1,233000348,233002101,36,20221022-091730
0,0,경기76아4715,1,-1,233000348,233001955,37,20221022-091747
0,0,경기76아4715,1,-1,233000348,233001955,37,20221022-091802
0,0,경기76아4715,1,-1,233000348,233001955,37,20221022-091815
0,0,경기76아4715,1,-1,233000348,233001955,37,20221022-091830
0,0,경기76아4715,1,-1,233000348,233001955,37,20221022-091845
0,0,경기76아4715,1,-1,233000348,233001955,37,20221022-091900
0,0,경기76아4715,1,-1,233000348,233001955,37,20221022-091915
0,0,경기76아4715,1,-1,233000348,233001955,37,20221022-091930
0,0,경기76아4715,1,-1,233000348,233002103,38,20221022-091945
0,0,경기76아4715,1,-1,233000348,233002105,39,20221022-092003
0,0,경기76아4715,1,-1,233000348,233002105,39,20221022-092016
0,0,경기76아4715,1,-1,233000348,233002105,39,20221022-092031
0,0,경기76아4715,1,-1,233000348,233001109,40,20221022-092046
0,0,경기76아4715,1,-1,233000348,233001109,40,20221022-092101
0,0,경기76아4715,1,-1,233000348,233001109,40,20221022-092116
0,0,경기76아4715,1,-1,233000348,233001109,40,20221022-092131
0,0,경기76아4715,1,-1,233000348,233001109,40,20221022-092146
0,0,경기76아4715,1,-1,233000348,233001109,40,20221022-092201
0,0,경기76아4715,1,-1,233000348,233001109,40,20221022-092215
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092230
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092245
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092300
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092315
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092330
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092345
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092400
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092415
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092430
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092445
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092500
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092515
0,0,경기76아4715,1,-1,233000348,233000617,41,20221022-092530
0,0,경기76아4715,1,-1,233000348,233002407,42,20221022-092545
0,0,경기76아4715,1,-1,233000348,233002407,42,20221022-092600
0,0,경기76아4715,1,-1,233000348,233002407,42,20221022-092614
0,0,경기76아4715,1,-1,233000348,233002407,42,20221022-092629
0,0,경기76아4715,1,-1,233000348,233002407,42,20221022-092644
0,0,경기76아4715,1,-1,233000348,233002407,42,20221022-092659
0,0,경기76아4715,1,-1,233000348,233002407,42,20221022-092716
0,0,경기76아4715,1,-1,233000348,233002407,42,20221022-092731
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-092746
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-092801
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-092816
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-092831
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-092846
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-092901
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-092916
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-092931
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-092946
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-093001
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-093016
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-093030
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-093046
0,0,경기76아4715,1,-1,233000348,233002408,43,20221022-093101
0,0,경기76아4715,1,-1,233000348,233002481,44,20221022-093115
0,0,경기76아4715,1,-1,233000348,233002481,44,20221022-093130
0,0,경기76아4715,1,-1,233000348,233002481,44,20221022-093145
0,0,경기76아4715,1,-1,233000348,233002481,44,20221022-093200
0,0,경기76아4715,1,-1,233000348,233002481,44,20221022-093215
0,0,경기76아4715,1,-1,233000348,233002481,44,20221022-093230
0,0,경기76아4715,1,-1,233000348,233002481,44,20221022-093245
0,0,경기76아4715,1,-1,233000348,233002481,44,20221022-093300
0,0,경기76아4715,1,-1,233000348,233002481,44,20221022-093315
0,0,경기76아4715,1,-1,233000348,233001108,45,20221022-093330
0,0,경기76아4715,1,-1,233000348,233001108,45,20221022-093345
0,0,경기76아4715,1,-1,233000348,233001108,45,20221022-093400
0,0,경기76아4715,1,-1,233000348,233001108,45,20221022-093415
0,0,경기76아4715,1,-1,233000348,233001108,45,20221022-093430
0,0,경기76아4715,1,-1,233000348,233001108,45,20221022-093445
0,0,경기76아4715,1,-1,233000348,233001108,45,20221022-093459
0,0,경기76아4715,1,-1,233000348,233001108,45,20221022-093514
0,0,경기76아4715,1,-1,233000348,233001108,45,20221022-093529
0,0,경기76아4715,1,-1,233000348,233000618,46,20221022-093544
0,0,경기76아4715,1,-1,233000348,233000618,46,20221022-093559
0,0,경기76아4715,1,-1,233000348,233000618,46,20221022-093616
0,0,경기76아4715,1,-1,233000348,233002106,47,20221022-093631
0,0,경기76아4715,1,-1,233000348,233002106,47,20221022-093646
0,0,경기76아4715,1,-1,233000348,233002106,47,20221022-093701
0,0,경기76아4715,1,-1,233000348,233002106,47,20221022-093716
0,0,경기76아4715,1,-1,233000348,233002106,47,20221022-093731
0,0,경기76아4715,1,-1,233000348,233002106,47,20221022-093746
0,0,경기76아4715,1,-1,233000348,233002106,47,20221022-093801
0,0,경기76아4715,1,-1,233000348,233002104,48,20221022-093816
0,0,경기76아4715,1,-1,233000348,233002104,48,20221022-093831
0,0,경기76아4715,1,-1,233000348,233001860,49,20221022-093845
0,0,경기76아4715,1,-1,233000348,233001860,49,20221022-093901
0,0,경기76아4715,1,-1,233000348,233001860,49,20221022-093915
0,0,경기76아4715,1,-1,233000348,233001860,49,20221022-093930
0,0,경기76아4715,1,-1,233000348,233001860,49,20221022-093945
0,0,경기76아4715,1,-1,233000348,233001860,49,20221022-094000
0,0,경기76아4715,1,-1,233000348,233001860,49,20221022-094015
0,0,경기76아4715,1,-1,233000348,233001860,49,20221022-094030
0,0,경기76아4717,1,-1,233000348,233002708,1,20221022-094045
0,0,경기76아4715,1,-1,233000348,233001860,49,20221022-094045
0,0,경기76아4715,1,-1,233000348,233002102,50,20221022-094100
0,0,경기76아4717,1,-1,233000348,233000597,2,20221022-094100
0,0,경기76아4717,1,-1,233000348,233000597,2,20221022-094115
0,0,경기76아4715,1,-1,233000348,233002102,50,20221022-094115
0,0,경기76아4715,1,-1,233000348,233002102,50,20221022-094130
0,0,경기76아4717,1,-1,233000348,233000597,2,20221022-094130
0,0,경기76아4717,1,-1,233000348,233000597,2,20221022-094145
0,0,경기76아4715,1,-1,233000348,233002102,50,20221022-094145
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094200
0,0,경기76아4715,1,-1,233000348,233002109,51,20221022-094200
0,0,경기76아4715,1,-1,233000348,233002109,51,20221022-094215
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094215
0,0,경기76아4715,1,-1,233000348,233002109,51,20221022-094230
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094230
0,0,경기76아4715,1,-1,233000348,233002109,51,20221022-094245
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094245
0,0,경기76아4715,1,-1,233000348,233002109,51,20221022-094300
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094300
0,0,경기76아4715,1,-1,233000348,233002109,51,20221022-094314
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094314
0,0,경기76아4715,1,-1,233000348,233002109,51,20221022-094329
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094329
0,0,경기76아4715,1,-1,233000348,233002109,51,20221022-094344
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094344
0,0,경기76아4715,1,-1,233000348,233002109,51,20221022-094359
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094359
0,0,경기76아4717,1,-1,233000348,233002375,3,20221022-094416
0,0,경기76아4715,1,-1,233000348,233001558,52,20221022-094416
0,0,경기76아4715,1,-1,233000348,233001558,52,20221022-094431
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094431
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094446
0,0,경기76아4715,1,-1,233000348,233001558,52,20221022-094446
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094501
0,0,경기76아4715,1,-1,233000348,233001558,52,20221022-094501
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094516
0,0,경기76아4715,1,-1,233000348,233001558,52,20221022-094516
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094531
0,0,경기76아4715,1,-1,233000348,233001558,52,20221022-094531
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094546
0,0,경기76아4715,1,-1,233000348,233000924,53,20221022-094546
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094602
0,0,경기76아4715,1,-1,233000348,233000924,53,20221022-094602
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094616
0,0,경기76아4715,1,-1,233000348,233000924,53,20221022-094616
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094631
0,0,경기76아4715,1,-1,233000348,233002356,54,20221022-094631
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094646
0,0,경기76아4715,1,-1,233000348,233002356,54,20221022-094646
0,0,경기76아4717,1,-1,233000348,233000163,4,20221022-094701
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094701
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094716
0,0,경기76아4717,1,-1,233000348,233001000,5,20221022-094716
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094731
0,0,경기76아4717,1,-1,233000348,233001000,5,20221022-094731
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094745
0,0,경기76아4717,1,-1,233000348,233001435,6,20221022-094745
0,0,경기76아4717,1,-1,233000348,233000208,7,20221022-094801
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094801
0,0,경기76아4717,1,-1,233000348,233000208,7,20221022-094815
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094815
0,0,경기76아4717,1,-1,233000348,233000208,7,20221022-094830
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094830
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094845
0,0,경기76아4717,1,-1,233000348,233000208,7,20221022-094845
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094900
0,0,경기76아4717,1,-1,233000348,233000208,7,20221022-094900
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094915
0,0,경기76아4717,1,-1,233000348,233001043,8,20221022-094915
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094930
0,0,경기76아4717,1,-1,233000348,233001043,8,20221022-094930
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-094945
0,0,경기76아4717,1,-1,233000348,233002166,9,20221022-094945
0,0,경기76아4715,1,-1,233000348,233002156,55,20221022-095000
0,0,경기76아4717,1,-1,233000348,233002166,9,20221022-095000
0,0,경기76아4717,1,-1,233000348,233002130,10,20221022-095015
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095015
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095030
0,0,경기76아4717,1,-1,233000348,233001042,11,20221022-095030
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095045
0,0,경기76아4717,1,-1,233000348,233001042,11,20221022-095045
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095100
0,0,경기76아4717,1,-1,233000348,233002296,12,20221022-095100
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095115
0,0,경기76아4717,1,-1,233000348,233002296,12,20221022-095115
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095130
0,0,경기76아4717,1,-1,233000348,233000207,13,20221022-095130
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095145
0,0,경기76아4717,1,-1,233000348,233000207,13,20221022-095145
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095159
0,0,경기76아4717,1,-1,233000348,233002216,14,20221022-095159
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095214
0,0,경기76아4717,1,-1,233000348,233002216,14,20221022-095214
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095229
0,0,경기76아4717,1,-1,233000348,233002216,14,20221022-095229
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095244
0,0,경기76아4717,1,-1,233000348,233002223,15,20221022-095244
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095259
0,0,경기76아4717,1,-1,233000348,233002223,15,20221022-095259
0,0,경기76아4715,1,-1,233000348,233001523,56,20221022-095316
0,0,경기76아4717,1,-1,233000348,233002836,16,20221022-095316
0,0,경기76아4717,1,-1,233000348,233002836,16,20221022-095331
0,0,경기76아4715,1,-1,233000348,233001524,57,20221022-095331
0,0,경기76아4717,1,-1,233000348,233002836,16,20221022-095346
0,0,경기76아4715,1,-1,233000348,233001524,57,20221022-095346
0,0,경기76아4717,1,-1,233000348,233002836,16,20221022-095401
0,0,경기76아4715,1,-1,233000348,233001524,57,20221022-095401
0,0,경기76아4715,1,-1,233000348,233001524,57,20221022-095416
0,0,경기76아4717,1,-1,233000348,233002214,17,20221022-095416
0,0,경기76아4715,1,-1,233000348,233001524,57,20221022-095431
0,0,경기76아4717,1,-1,233000348,233002214,17,20221022-095431
0,0,경기76아4715,1,-1,233000348,233001524,57,20221022-095446
0,0,경기76아4717,1,-1,233000348,233002214,17,20221022-095446
0,0,경기76아4717,1,-1,233000348,233002214,17,20221022-095501
0,0,경기76아4715,1,-1,233000348,233001525,58,20221022-095501
0,0,경기76아4717,1,-1,233000348,233002214,17,20221022-095516
0,0,경기76아4715,1,-1,233000348,233001525,58,20221022-095516
0,0,경기76아4717,1,-1,233000348,233002214,17,20221022-095531
0,0,경기76아4715,1,-1,233000348,233001525,58,20221022-095531
0,0,경기76아4717,1,-1,233000348,233002844,18,20221022-095546
0,0,경기76아4715,1,-1,233000348,233002180,59,20221022-095546
0,0,경기76아4717,1,-1,233000348,233002844,18,20221022-095601
0,0,경기76아4715,1,-1,233000348,233002180,59,20221022-095601
0,0,경기76아4717,1,-1,233000348,233002844,18,20221022-095616
0,0,경기76아4715,1,-1,233000348,233002180,59,20221022-095616
0,0,경기76아4717,1,-1,233000348,233002844,18,20221022-095631
0,0,경기76아4715,1,-1,233000348,233002180,59,20221022-095631
0,0,경기76아4717,1,-1,233000348,233002844,18,20221022-095646
0,0,경기76아4715,1,-1,233000348,233002180,59,20221022-095646
0,0,경기76아4715,1,-1,233000348,233002180,59,20221022-095701
0,0,경기76아4717,1,-1,233000348,233002842,19,20221022-095701
0,0,경기76아4717,1,-1,233000348,233002842,19,20221022-095715
0,0,경기76아4715,1,-1,233000348,233001526,60,20221022-095715
0,0,경기76아4715,1,-1,233000348,233001527,61,20221022-095730
0,0,경기76아4717,1,-1,233000348,233002842,19,20221022-095730
0,0,경기76아4717,1,-1,233000348,233002842,19,20221022-095745
0,0,경기76아4715,1,-1,233000348,233001527,61,20221022-095745
0,0,경기76아4715,1,-1,233000348,233001528,62,20221022-095800
0,0,경기76아4717,1,-1,233000348,233002840,20,20221022-095800
0,0,경기76아4717,1,-1,233000348,233002840,20,20221022-095815
0,0,경기76아4715,1,-1,233000348,233001354,63,20221022-095815
